state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,09/03/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,12/03/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,30/06/2020,6000,6000,6000
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,08/07/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,09/07/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,10/07/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,20/07/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,25/07/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,27/07/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,11/08/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,12/08/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,13/08/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,17/09/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,23/09/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,26/09/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,10/10/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,12/10/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,13/10/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,14/10/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,15/10/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,16/10/2020,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,17/10/2020,600,600,600
Chattisgarh,Jashpur,Pathalgaon,"Chili Red",Other,30/04/2020,6000,6000,6000
Gujarat,Banaskanth,Vadgam,"Chili Red",Other,15/01/2020,5000,5000,5000
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,10/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,17/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,19/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,24/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,26/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,28/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,31/01/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,11/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,22/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,28/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/02/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,11/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,13/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/03/2020,19700,21700,20700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,17/03/2020,19600,21600,20600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,20/03/2020,19600,21600,20600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/03/2020,19600,21600,20600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,26/03/2020,19600,21600,20600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,27/03/2020,19200,21200,20200
Jharkhand,Ranchi,Khunti,"Chili Red",Other,28/03/2020,19600,21600,20600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/03/2020,19600,21600,20600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,31/03/2020,19600,21600,20600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,10/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,13/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,17/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,19/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,20/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,23/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,24/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,27/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,28/04/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,11/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,20/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,22/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,27/05/2020,18650,20650,19650
Jharkhand,Ranchi,Khunti,"Chili Red",Other,28/05/2020,18650,20650,19650
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/05/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/06/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/06/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/06/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/06/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/06/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/06/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,10/06/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/06/2020,18600,20600,19600
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/06/2020,18600,20600,19600
